
 NPM(K)    PM(M)      WS(M)     CPU(s)      Id  SI ProcessName
     12     2.66       8.90       0.00    1736   0 svchost
     10     2.44       9.31       0.00    1744   0 svchost
     23    20.59      18.87       0.00    1772   0 svchost
     13     3.45       8.97       0.00    1888   0 svchost
      9     1.59       5.33       0.00    1916   0 svchost
     10     2.14       7.64       0.00    1948   0 svchost
     22     5.64      19.27       0.00    1972   0 svchost
     16     6.68       9.65       0.00    1988   0 svchost
     12     3.01       7.73       0.00    2016   0 svchost
     24     8.62      13.23       0.00    2040   0 svchost
     19     8.48      29.06      21.84    2072   1 svchost
     19     4.11       9.06       0.00    2252   0 svchost
     10     2.12       7.11       0.00    2280   0 svchost
     27    45.64      25.77       0.00    2324   0 svchost
     12     3.26      12.40       0.00    2644   0 svchost
     15    17.19      17.75       0.00    2688   0 svchost
     14     3.94      12.11       0.00    2732   0 svchost
     21     8.66      24.62       0.00    2764   0 svchost
     11     2.47       9.91       0.00    2792   0 svchost
     19     3.54      12.52       0.00    2808   0 svchost
      8     1.45       5.53       0.00    2836   0 svchost
     23    11.54      35.45      59.19    2892   1 svchost
     15     3.50      17.73       3.48    2964   1 svchost
     14     2.13       9.19       0.00    2996   0 svchost
     11     2.02       8.36       0.00    3008   0 svchost
     22     6.53      15.59       0.00    3024   0 svchost
      8     2.87       7.01       0.00    3084   0 svchost
      8     1.29       6.00       0.00    3420   0 svchost
     13     2.58      10.16       0.00    3476   0 svchost
     12     1.95       7.92       0.00    3484   0 svchost
     13    37.67      23.66       0.00    3648   0 svchost
     15     3.83      14.20       0.00    3704   0 svchost
     17     3.97      15.14       0.00    3712   0 svchost
      9     1.50       6.64       0.00    3732   0 svchost
     11     2.21       9.15       0.00    3852   0 svchost
     15     3.07      12.58       0.00    3876   0 svchost
      9     1.53       6.64       0.00    4008   0 svchost
     36    14.59      19.93       0.00    4024   0 svchost
     11     1.76       7.15       0.00    4076   0 svchost
     11     2.09       8.43       0.00    4204   0 svchost
     36    25.73      49.16       0.00    4220   0 svchost
     28     5.37      15.84       0.00    4228   0 svchost
     18     2.88       9.81       0.00    4292   0 svchost
     24    55.38      50.56       0.00    4312   0 svchost
     13     3.07       9.58       0.00    4324   0 svchost
     13     2.39       8.62       0.00    4428   0 svchost
     42     1.67       6.18       0.00    4444   0 svchost
      8     1.55       5.39       0.00    4508   0 svchost
     19    10.83      21.31       0.00    4612   0 svchost
     21     5.89      19.44       0.00    4628   0 svchost
     26    11.29      19.55       0.00    4764   0 svchost
     24     3.51      11.71       0.00    4804   0 svchost
     12     3.73      12.27       0.00    4832   0 svchost
     16    12.09      25.95       0.00    4936   0 svchost
      8     1.43       6.02       0.00    4960   0 svchost
     12     1.60       6.66       0.00    4984   0 svchost
     13     3.81      14.84       1.06    5388   1 svchost
     12     4.23      13.40       0.00    5544   0 svchost
     19     2.46       6.75       0.00    6020   0 svchost
     10     1.80       7.50       0.00    6220   0 svchost
     19     4.81      19.50       0.00    6312   0 svchost
      9     1.69       6.91       0.00    6460   0 svchost
      9     1.48       6.38       0.00    6800   0 svchost
     11     2.04       7.58       0.00    6876   0 svchost
     16     2.87       8.58       0.00    6968   0 svchost
     20    59.28      57.64       0.00    7360   0 svchost
     11     2.32       7.75       0.00    7704   0 svchost
     19     4.69      21.86       1.20    8000   1 svchost
     14     3.24      14.32       0.00    8280   0 svchost
     25     5.46      19.99       5.50    8688   1 svchost
     14     3.53      17.87       1.36    8772   1 svchost
     21     9.10      33.28      22.36    8976   1 svchost
      8     1.34       6.15       0.00    9252   0 svchost
     15     3.29      15.92       3.91    9376   1 svchost
     14     3.05      12.82       0.00    9748   0 svchost
     12     2.59       9.30       0.00   12228   0 svchost
      9     1.85       7.28       0.00   16140   0 svchost
     10     3.30      10.50       0.00   17776   0 svchost
     10     1.80       7.85       0.00   21780   0 svchost
      8     1.27       5.45       0.00   22952   0 svchost
      0     0.04       0.14       0.00       4   0 System
